epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,17577.4,0.56602,0.27873,0.94033,0.90852,0.95531,0.96113,0.67417,1.10219,0.34019,1.44225,0.007525,0.007525,0.007525
127,17716.1,0.56461,0.27877,0.94189,0.90735,0.95495,0.96111,0.6742,1.10227,0.34065,1.44303,0.0075052,0.0075052,0.0075052
128,17855.5,0.56457,0.27871,0.94028,0.90573,0.95604,0.96126,0.67405,1.10234,0.34052,1.44366,0.0074854,0.0074854,0.0074854
129,17994.3,0.56325,0.27746,0.94144,0.90373,0.95612,0.96039,0.6737,1.10248,0.34046,1.44439,0.0074656,0.0074656,0.0074656
130,18133.6,0.56052,0.27659,0.94053,0.90412,0.95687,0.96058,0.67358,1.10255,0.34083,1.44509,0.0074458,0.0074458,0.0074458
131,18273,0.56063,0.27834,0.93914,0.90276,0.95744,0.96032,0.67346,1.10261,0.34068,1.44562,0.007426,0.007426,0.007426
132,18412.3,0.55656,0.27679,0.93824,0.90277,0.95768,0.96069,0.67414,1.10269,0.34045,1.44603,0.0074062,0.0074062,0.0074062
133,18551.9,0.55668,0.2767,0.93768,0.90105,0.95852,0.96071,0.67278,1.10267,0.34031,1.4466,0.0073864,0.0073864,0.0073864
134,18691.2,0.55353,0.27413,0.93492,0.8993,0.95862,0.9603,0.67225,1.10276,0.34053,1.44737,0.0073666,0.0073666,0.0073666
135,18830.4,0.5527,0.2749,0.93562,0.89797,0.95942,0.95991,0.67239,1.10269,0.34033,1.44795,0.0073468,0.0073468,0.0073468
136,18969.8,0.55478,0.27781,0.93593,0.89668,0.96044,0.96004,0.67249,1.10272,0.34037,1.44867,0.007327,0.007327,0.007327
